DOCUMENTOFISCAL|DOCUMENTODEPAGAMENTO|VALOR_JUROS_NF
401902|149495|12,65
402020|145866|0,85
402160|145398|0,82
402410|146240|0,00
403258|150119|6,27
403581|146240|0,00
404719|146241|0,00
405329|144630|3,74
405394|150119|5,56
405537|150761|5,81
405721|146242|0,00
406492|145729|3,76
406972|144174|3,29
407097|146461|4,03
407098|146241|0,00
407107|154811|6,79
407707|143834|0,45
408069|145380|3,28
408251|146241|0,00
408260|150120|0,00
408771|144910|10,45
408995|143530|2,23
409120|148179|0,60
409229|143709|3,91
409236|154491|5,94
409307|146244|0,00
409312|143804|9,45
409322|143837|0,00
409323|143466|2,44
409952|144869|2,41
410020|143491|3,52
410106|146751|0,51
410131|144432|2,23
410321|149993|8,27
410434|143709|3,91
410512|146244|0,00
410517|143804|4,00
410520|143466|2,41
410527|151538|4,56
411333|147357|0,00
411374|144869|4,11
411558|144432|3,74
411592|147323|0,48
411709|151001|0,66
411737|149993|49,15
411776|146606|2,69
411809|144484|3,50
411864|145911|2,43
411927|145145|4,31
411930|146244|0,00
411936|143804|4,94
411937|143466|2,41
411947|144629|7,32
412002|145073|1,65
412097|153945|0,79
412192|147357|0,00
412215|152231|0,00
412287|152591|4,30
412392|145073|1,65
412412|144102|1,31
412463|146409|2,26
412508|145596|1,80
412540|144964|0,11
412591|149993|3,43
412615|143467|1,11
412694|146624|2,34
412767|144054|1,30
412772|144853|52,17
412776|145596|7,20
412778|146244|0,00
412784|143804|2,59
412788|144629|3,04
412792|147275|2,55
412794|147444|7,80
412795|144452|1,43
412969|152010|0,63
412981|143287|62,21
413010|145073|2,74
413033|143572|0,88
413039|143534|0,87
413078|144424|1,14
413083|144281|1,10
413097|143683|3,60
413098|149530|5,79
413153|143892|0,96
413186|144514|1,17
413187|143582|0,00
413190|143367|2,43
413208|143467|8,31
413251|143413|12,31
413259|143413|0,82
413273|144353|1,11
413291|144054|29,61
413298|143828|0,95
413348|143828|0,95
413354|143292|0,00
413388|143630|4,45
413410|144125|8,32
413413|144204|1,08
413456|146601|29,77
413470|144125|1,04
413471|144424|1,14
413538|143413|0,82
413577|143572|54,83
413588|143828|0,93
413594|144452|40,29
413606|151042|3,47
413621|143287|152,70
413630|143491|28,41
413634|146511|3,68
413642|143467|4,98
413657|143705|2,79
413663|143791|1,88
413685|144484|5,80
413691|146460|1,81
413716|144484|1,16
413723|145503|1,48
413725|144054|1,02
413730|144253|1,09
413748|146750|16,62
413755|143828|1,90
413768|150798|3,38
413771|143572|1,76
413774|144353|1,11
413783|144167|1,07
413790|144353|2,22
413795|144054|2,04
413797|146601|1,86
413801|144853|36,43
413802|144009|4,04
413806|145596|1,52
413808|146241|0,00
413810|143572|1,76
413813|143804|2,92
413815|154811|9,45
413816|143466|2,41
413823|148034|7,56
413825|145723|4,71
413826|145824|1,59
413827|143534|92,72
413828|146363|134,69
413829|145596|1,52
413830|147473|0,00
414021|143985|0,00
414022|143630|0,00
414023|143985|0,00
414024|143892|0,00
414025|143572|0,00
414026|143940|0,00
414027|143940|0,00
414028|143985|0,00
414029|143683|0,00
414030|143985|0,00
414031|143892|0,00
414032|144009|0,69
414033|143985|0,00
414034|143985|0,00
414036|143940|0,00
414037|143705|0,00
414038|143985|0,00
414039|143828|0,00
414040|143985|0,00
414041|143985|0,00
414042|143940|0,00
414043|143985|0,00
414044|143940|0,00
414045|143940|0,00
414046|143985|0,00
414047|143940|0,00
414048|143985|0,00
414049|143985|0,00
414050|143892|0,00
414051|143705|0,00
414052|143985|0,00
414053|143985|0,00
414054|144054|82,50
414055|143828|0,00
414056|143940|0,00
414057|143940|0,00
414058|143985|0,00
414059|143940|0,00
414060|143985|0,00
414061|143985|0,00
414062|143985|0,00
414063|143985|0,00
414064|145073|4,20
414065|143940|0,00
414066|143491|0,00
414067|143985|0,00
414068|143985|0,00
414069|143683|0,00
414070|143985|0,00
414071|143985|0,00
414072|143985|0,00
414073|143892|0,00
414074|143985|0,00
414075|143985|0,00
414076|143985|0,00
414078|143940|0,00
414079|143892|0,00
414080|143940|0,00
414081|143985|0,00
414082|143985|0,00
414083|143985|0,00
414084|143985|0,00
414085|143985|0,00
414086|143940|0,00
414087|143985|0,00
414088|144720|17,05
414089|143892|0,00
414090|143892|0,00
414091|143985|0,00
414092|143985|0,00
414093|143534|0,00
414094|143828|0,00
414095|143985|0,00
414096|143985|0,00
414097|143534|0,00
414098|143985|0,00
414099|143985|0,00
414100|143705|0,00
414101|143892|0,00
414102|143985|0,00
414103|143705|0,00
414104|143828|0,00
414105|143946|0,00
414106|143534|0,00
414107|143683|0,00
414108|143985|0,00
414109|143985|0,00
414110|143985|0,00
414111|143985|0,00
414112|143940|0,00
414113|143985|0,00
414114|143985|0,00
414115|143828|0,00
414116|143892|0,00
414117|143985|0,00
414118|143892|0,00
414119|143985|0,00
414120|143940|0,00
414121|143985|0,00
414122|143985|0,00
414123|143940|0,00
414124|143892|0,00
414125|143985|0,00
414126|143985|0,00
414127|143940|0,00
414128|143985|0,00
414129|143828|0,00
414130|143985|0,00
414131|143985|0,00
414132|143985|0,00
414133|143946|0,00
414134|143940|0,00
414135|143892|0,00
414136|143534|0,00
414137|143985|0,00
414138|144008|0,00
414139|143985|0,00
414140|143940|0,00
414141|143985|0,00
414142|143572|0,00
414143|143985|0,00
414144|143940|0,00
414145|143892|0,00
414146|143985|0,00
414147|143985|0,00
414148|143985|0,00
414149|143985|0,00
414150|143985|0,00
414151|143985|0,00
414152|143892|0,00
414153|143828|0,00
414155|143940|0,00
414156|143985|0,00
414157|143985|0,00
414158|143985|0,00
414159|143985|0,00
414160|143985|0,00
414161|143985|0,00
414162|143940|0,00
414163|143985|0,00
414164|143985|0,00
414165|143985|0,00
414166|143985|0,00
414167|143892|0,00
414168|143985|0,00
414169|143985|0,00
414170|143940|0,00
414171|143828|0,00
414172|143985|0,00
414173|143572|0,00
414174|143940|0,00
414175|143630|0,00
414176|143828|0,00
414177|143940|0,00
414178|143985|0,00
414179|143572|0,00
414180|143892|0,00
414181|143985|0,00
414182|143828|0,00
414183|143534|0,00
414184|143985|0,00
414185|143940|0,00
414186|143828|0,00
414187|143572|0,00
414188|143985|0,00
414189|143940|0,00
414190|143985|0,00
414191|143940|0,00
414192|143985|0,00
414193|143985|0,00
414194|143791|0,00
414195|143683|0,00
414196|143940|0,00
414197|143940|0,00
414198|143985|0,00
414199|143940|0,00
414200|143985|0,00
414201|143940|0,00
414202|144720|0,11
414203|143985|0,00
414204|143985|0,00
414205|143985|0,00
414206|143985|0,00
414207|143985|0,00
414208|143940|0,00
414209|143985|0,00
414210|143940|0,00
414211|143985|0,00
414212|143985|0,00
414213|143940|0,00
414214|143985|0,00
414215|143985|0,00
414216|143985|0,00
414217|143985|0,00
414218|143985|0,00
414219|143940|0,00
414220|143985|0,00
414221|143985|0,00
414222|143985|0,00
414223|143985|0,00
414224|143940|0,00
414225|143630|0,00
414226|143985|0,00
414227|143985|0,00
414228|143985|0,00
414229|143791|0,00
414230|143985|0,00
414231|143892|0,00
414232|143572|0,00
414233|143985|0,00
414235|154013|4,14
414236|143467|0,00
414237|143985|0,00
414238|146748|1,59
414239|143985|0,00
414240|143985|0,00
414241|143985|0,00
414242|143985|0,00
414243|145005|0,11
414244|143985|0,00
414245|143940|0,00
414246|143985|0,00
414247|143828|0,00
414248|149612|0,43
414249|143940|0,00
414250|143985|0,00
414251|143985|0,00
414252|143828|0,00
414253|143985|0,00
414254|143705|0,00
414255|143985|0,00
414256|143491|0,00
414257|143940|0,00
414258|143791|0,00
414259|143985|0,00
414260|143985|0,00
414261|143985|0,00
414262|143572|0,00
414263|143985|0,00
414265|143828|0,00
414266|144009|12,44
414267|143985|0,00
414268|143985|0,00
414269|143892|0,00
414270|144484|15,14
414271|143940|0,00
414272|143683|0,00
414273|143985|0,00
414274|143985|0,00
414275|143892|0,00
414276|143940|0,00
414277|143828|0,00
414278|143985|0,00
414279|143940|0,00
414280|143985|0,00
414281|143491|0,00
414282|143491|0,00
414283|143491|0,00
414284|143491|0,00
414285|143985|0,00
414286|143791|0,00
414287|143940|0,00
414288|143705|0,00
414289|143985|0,00
414290|143985|0,00
414291|143940|0,00
414292|143985|0,00
414293|143940|0,00
414294|143985|0,00
414295|143985|0,00
414296|143705|0,00
414297|143940|0,00
414298|143892|0,00
414299|144009|7,60
414300|146203|37,56
414301|143534|0,00
414302|144853|0,98
414303|143985|0,00
414304|143985|0,00
414305|143985|0,00
414306|143572|0,00
414307|143985|0,00
414308|143985|0,00
414309|143985|0,00
414310|143985|0,00
414311|143705|0,00
414312|143940|0,00
414313|143705|0,00
414314|143985|0,00
414315|145683|1,24
414316|143828|0,00
414317|143985|0,00
414318|143940|0,00
414319|143828|0,00
414320|143940|0,00
414321|143985|0,00
414322|144353|0,79
414323|143985|0,00
414324|143985|0,00
414325|144424|4,10
414326|143985|0,00
414327|143985|0,00
414328|143985|0,00
414329|143534|0,00
414330|143828|0,00
414331|143985|0,00
414332|143985|0,00
414333|143985|0,00
414334|143985|0,00
414335|143985|0,00
414336|143683|0,00
414337|143985|0,00
414338|143940|0,00
414339|143985|0,00
414340|143985|0,00
414341|143985|0,00
414342|143630|0,00
414343|143985|0,00
414344|143985|0,00
414345|143491|0,00
414346|143491|0,00
414347|143683|0,00
414348|143985|0,00
414349|143985|0,00
414350|143705|0,00
414351|143985|0,00
414352|143985|0,00
414353|143985|0,00
414354|143985|0,00
414355|143985|0,00
414356|143940|0,00
414357|143892|0,00
414358|143467|0,00
414359|143940|0,00
414360|143985|0,00
414361|143985|0,00
414362|143985|0,00
414363|143705|0,00
414364|143985|0,00
414365|143985|0,00
414366|143985|0,00
414367|143985|0,00
414368|143892|0,00
414369|143940|0,00
414370|143940|0,00
414371|143985|0,00
414372|143705|0,00
414373|143940|0,00
414374|143985|0,00
414375|143940|0,00
414376|143940|0,00
414377|143985|0,00
414378|143828|0,00
414379|143630|0,00
414380|143985|0,00
414381|143985|0,00
414382|143572|0,00
414383|143985|0,00
414384|143985|0,00
414385|143985|0,00
414386|143985|0,00
414387|143572|0,00
414388|143705|0,00
414389|143985|0,00
414390|143985|0,00
414391|143940|0,00
414392|143791|0,00
414393|143985|0,00
414394|143791|0,00
414395|143940|0,00
414396|143985|0,00
414397|143985|0,00
414398|143985|0,00
414399|143828|0,00
414400|143985|0,00
414401|143985|0,00
414402|143892|0,00
414403|143572|0,00
414404|143572|0,00
414405|143940|0,00
414406|143985|0,00
414407|143940|0,00
414408|143534|0,00
414409|143892|0,00
414410|143940|0,00
414411|143940|0,00
414412|143985|0,00
414413|143892|0,00
414414|143985|0,00
414415|143985|0,00
414416|143985|0,00
414417|143985|0,00
414418|143985|0,00
414419|143791|0,00
414420|143985|0,00
414421|143705|0,00
414422|143630|0,00
414423|143985|0,00
414424|143985|0,00
414425|143940|0,00
414426|143985|0,00
414427|143985|0,00
414428|143705|0,00
414429|143985|0,00
414430|143467|0,00
414431|143985|0,00
414432|143892|0,00
414433|143985|0,00
414434|143985|0,00
414435|143985|0,00
414436|143985|0,00
414437|143892|0,00
414438|143572|0,00
414439|143985|0,00
414440|143892|0,00
414441|143985|0,00
414442|143985|0,00
414443|143985|0,00
414444|143985|0,00
414445|143491|0,00
414446|143572|0,00
414448|143985|0,00
414449|144125|5,04
414450|143940|0,00
414451|143985|0,00
414452|143985|0,00
414453|143985|0,00
414454|143940|0,00
414455|143491|0,00
414456|143985|0,00
414457|143985|0,00
414458|143985|0,00
414459|143828|0,00
414460|143985|0,00
414461|143940|0,00
414462|144777|7,66
414463|143985|0,00
414464|143985|0,00
414465|143985|0,00
414466|143985|0,00
414467|143985|0,00
414468|143985|0,00
414469|143985|0,00
414470|143985|0,00
414471|143985|0,00
414472|143985|0,00
414473|144102|0,71
414475|143572|0,00
414476|143985|0,00
414477|143985|0,00
414478|143985|0,00
414479|143985|0,00
414480|143985|0,00
414481|143985|0,00
414482|143985|0,00
414483|143985|0,00
414484|143940|0,00
414485|143985|0,00
414486|143534|0,00
414487|143985|0,00
414488|143491|0,00
414489|143940|0,00
414490|143491|0,00
414491|143985|0,00
414492|143985|0,00
414493|143683|0,00
414494|143985|0,00
414495|143630|0,00
414496|143985|0,00
414497|143985|0,00
414498|143985|0,00
414499|143491|0,00
414500|143985|0,00
414501|143985|0,00
414502|143985|0,00
414503|151674|3,33
414504|143985|0,00
414505|143985|0,00
414506|143491|0,00
414507|143985|0,00
414508|143534|0,00
414509|143985|0,00
414510|143572|0,00
414511|143985|0,00
414512|143985|0,00
414513|143985|0,00
414515|144665|95,51
414516|143985|0,00
414517|143985|0,00
414518|143985|0,00
414519|143467|0,00
414520|143683|0,00
414521|143985|0,00
414522|143940|0,00
414523|143985|0,00
414524|143940|0,00
414525|143985|0,00
414526|143985|0,00
414527|143940|0,00
414528|143985|0,00
414529|143985|0,00
414530|143985|0,00
414531|143791|0,00
414532|143985|0,00
414533|143985|0,00
414534|143985|0,00
414535|143572|0,00
414536|143985|0,00
414537|143985|0,00
414538|143940|0,00
414539|143940|0,00
414540|143892|0,00
414541|143946|0,00
414542|144009|20,04
414543|143467|0,00
414544|143985|0,00
414545|143534|0,00
414546|143892|0,00
414547|143940|0,00
414548|143892|0,00
414549|143985|0,00
414550|143683|0,00
414551|143630|0,00
414552|143985|0,00
414553|143985|0,00
414554|143985|0,00
414555|143940|0,00
414556|143985|0,00
414557|143985|0,00
414558|154105|113,42
414559|143630|0,00
414560|143985|0,00
414561|143985|0,00
414562|143940|0,00
414563|143572|0,00
414564|143985|0,00
414565|143985|0,00
414566|143985|0,00
414567|143828|0,00
414568|143985|0,00
414569|143985|0,00
414570|143985|0,00
414571|143985|0,00
414572|143940|0,00
414573|143828|0,00
414574|143985|0,00
414575|143985|0,00
414576|143491|0,00
414577|143828|0,00
414579|143892|0,00
414580|143940|0,00
414581|143985|0,00
414582|144009|4,83
414583|143940|0,00
414584|143985|0,00
414585|143985|0,00
414586|143940|0,00
414587|143705|0,00
414588|143940|0,00
414589|143985|0,00
414590|143985|0,00
414591|143985|0,00
414592|143572|0,00
414593|143985|0,00
414594|148998|9,90
414595|143985|0,00
414596|143985|0,00
414597|143985|0,00
414598|143572|0,00
414599|143985|0,00
414600|147446|52,52
414601|143940|0,00
414602|143985|0,00
414603|143828|0,00
414604|143940|0,00
414605|143940|0,00
414606|143534|0,00
414607|143985|0,00
414608|144009|2,07
414609|143491|0,00
414611|143985|0,00
414612|147300|3,47
414613|143534|0,00
414615|143985|0,00
414616|143467|0,00
414617|143940|0,00
414618|143985|0,00
414619|143946|0,00
414620|143940|0,00
414621|143985|0,00
414622|143985|0,00
414623|143985|0,00
414624|143985|0,00
414625|143828|0,00
414626|143985|0,00
414627|143985|0,00
414628|143985|0,00
414629|143467|0,00
414630|143940|0,00
414631|143791|0,00
414632|143985|0,00
414634|143985|0,00
414635|144572|0,86
414636|143946|0,00
414637|143985|0,00
414638|143985|0,00
414639|143985|0,00
414640|148179|0,31
414641|143985|0,00
414642|143985|0,00
414643|143985|0,00
414644|143985|0,00
414645|143534|0,00
414646|143985|0,00
414647|143985|0,00
414648|143892|0,00
414649|143985|0,00
414650|143892|0,00
414651|143985|0,00
414652|143940|0,00
414653|143985|0,00
414654|143534|0,00
414655|143985|0,00
414656|143940|0,00
414657|143467|0,00
414658|143940|0,00
414659|144054|2,80
414660|143940|0,00
414661|143985|0,00
414662|143892|0,00
414663|143572|0,00
414664|143940|0,00
414665|143985|0,00
414666|143985|0,00
414667|143985|0,00
414668|143985|0,00
414669|143892|0,00
414670|143985|0,00
414671|143985|0,00
414672|143985|0,00
414673|143705|0,00
414674|143892|0,00
414675|143985|0,00
414676|144054|0,70
414677|143985|0,00
414678|143985|0,00
414679|143940|0,00
414680|143630|0,00
414681|143892|0,00
414682|143985|0,00
414683|143985|0,00
414684|143985|0,00
414685|143705|0,00
414686|143892|0,00
414687|143705|0,00
414688|143985|0,00
414689|143705|0,00
414690|143985|0,00
414691|144964|1,03
414692|143985|0,00
414693|143985|0,00
414694|143985|0,00
414695|143985|0,00
414696|143985|0,00
414697|143985|0,00
414698|143985|0,00
414699|143985|0,00
414700|143940|0,00
414701|143985|0,00
414702|143892|0,00
414703|143940|0,00
414704|143705|0,00
414705|143985|0,00
414706|143985|0,00
414707|143985|0,00
414708|143985|0,00
414709|143705|0,00
414710|143985|0,00
414711|143892|0,00
414712|143985|0,00
414713|143985|0,00
414714|143892|0,00
414715|148601|4,70
414716|143985|0,00
414717|143467|0,00
414718|143940|0,00
414719|143985|0,00
414720|146460|1,49
414721|143940|0,00
414722|143940|0,00
414724|143683|0,00
414725|143985|0,00
414726|143828|0,00
414727|143491|0,00
414728|150118|2,78
414729|143940|0,00
414730|145683|1,24
414731|143985|0,00
414732|143985|0,00
414733|143985|0,00
414735|143985|0,00
414736|143985|0,00
414737|143985|0,00
414738|143985|0,00
414739|143572|0,00
414740|143683|0,00
414741|143985|0,00
414742|143985|0,00
414743|144125|0,72
414744|143940|0,00
414745|143985|0,00
414746|143985|0,00
414747|143940|0,00
414748|143985|0,00
414749|143985|0,00
414750|143985|0,00
414751|143985|0,00
414752|144054|4,12
414753|143985|0,00
414754|143985|0,00
414755|143940|0,00
414756|143985|0,00
414757|143985|0,00
414758|143985|0,00
414759|143985|0,00
414760|143985|0,00
414761|143985|0,00
414762|143940|0,00
414763|143985|0,00
414764|143985|0,00
414765|143985|0,00
414766|143985|0,00
414767|143940|0,00
414768|147860|4,22
414769|150062|2,77
414770|143985|0,00
414771|143985|0,00
414772|143985|0,00
414773|143985|0,00
414774|143985|0,00
414775|143985|0,00
414776|143985|0,00
414777|143985|0,00
414778|143985|0,00
414779|143572|0,00
414780|143985|0,00
414781|143985|0,00
414782|143534|0,00
414783|143985|0,00
414784|143892|0,00
414785|143985|0,00
414786|143985|0,00
414787|143985|0,00
414788|143985|0,00
414789|143572|0,00
414790|143985|0,00
414791|144009|0,69
414792|143985|0,00
414793|146335|1,45
414794|143985|0,00
414795|143985|0,00
414796|143985|0,00
414797|145443|25,76
414799|144102|0,71
414800|143985|0,00
414801|143630|0,00
414802|143985|0,00
414803|143491|0,00
414804|143985|0,00
414805|143985|0,00
414806|144167|0,75
414807|143985|0,00
414808|144054|2,10
414809|144009|2,07
414810|143985|0,00
414811|143985|0,00
414812|143985|0,00
414813|143985|0,00
414814|143985|0,00
414815|146363|150,60
414816|143985|0,00
414817|143572|0,00
414818|143572|0,00
414819|143985|0,00
414820|143985|0,00
414821|144484|1,68
414822|143705|0,00
414823|144353|0,79
414824|143985|0,00
414825|143985|0,00
414826|143572|0,00
414827|143940|0,00
414828|143985|0,00
414829|144054|1,40
414830|143985|0,00
414831|143985|0,00
414832|143985|0,00
414833|143985|0,00
414834|143985|0,00
414835|143985|0,00
414836|143985|0,00
414837|144912|0,99
414839|147035|0,00
414840|143985|0,00
414841|143985|0,00
414842|143985|0,00
414843|143985|0,00
414845|143985|0,00
414846|143985|0,00
414847|143985|0,00
414848|147860|2,11
414849|154811|4,35
414850|151041|3,11
414851|143985|0,00
414852|143985|0,00
414853|143985|0,00
414854|143892|0,00
414855|145100|2,12
414856|146363|1,46
414857|146203|2,78
414858|143985|0,00
414859|145572|3,57
414860|148441|2,29
415003|143985|0,00
415004|144167|0,75
415015|144920|0,00
415016|144629|0,00
415017|144920|0,00
415018|144920|0,00
415019|144720|0,00
415020|144667|0,00
415021|144920|0,00
415022|144720|0,00
415023|144920|0,00
415024|144853|0,00
415026|144912|0,00
415027|144777|0,00
415028|144920|0,00
415029|144920|0,00
415030|144920|0,00
415032|144912|0,00
415033|144559|0,00
415034|144629|0,00
415035|144667|0,00
415036|144920|0,00
415037|144920|0,00
415038|144912|0,00
415039|144920|0,00
415040|144853|0,00
415041|144720|0,00
415042|144559|0,00
415043|144720|0,00
415044|144920|0,00
415045|144920|0,00
415046|144629|0,00
415047|144920|0,00
415048|144667|0,00
415049|144629|0,00
415050|144920|0,00
415051|144920|0,00
415052|144912|0,00
415053|144777|0,00
415054|144720|0,00
415055|144572|0,00
415056|144920|0,00
415057|144853|0,00
415058|144920|0,00
415059|144920|0,00
415060|144912|0,00
415061|144920|0,00
415062|144920|0,00
415063|144912|0,00
415064|144572|0,00
415065|144920|0,00
415066|145255|68,23
415067|144484|0,00
415068|144920|0,00
415069|144920|0,00
415070|144920|0,00
415071|144853|0,00
415072|144920|0,00
415073|144920|0,00
415074|144920|0,00
415075|144720|0,00
415076|144912|0,00
415077|144667|0,00
415078|144920|0,00
415079|144920|0,00
415080|144920|0,00
415081|145683|15,48
415082|144920|0,00
415083|144920|0,00
415084|144912|0,00
415085|144912|0,00
415086|144920|0,00
415087|145100|1,51
415088|145775|0,95
415089|144667|0,00
415090|144920|0,00
415091|144920|0,00
415092|144920|0,00
415093|144920|0,00
415094|144920|0,00
415095|144920|0,00
415096|144720|0,00
415097|144912|0,00
415098|144920|0,00
415099|144912|0,00
415100|144667|0,00
415101|144920|0,00
415102|144920|0,00
415103|144720|0,00
415104|144920|0,00
415105|144920|0,00
415106|144920|0,00
415107|144920|0,00
415108|144514|0,00
415109|144920|0,00
415110|144920|0,00
415111|144912|0,00
415112|144912|0,00
415113|144920|0,00
415114|144912|0,00
415115|144920|0,00
415116|144920|0,00
415118|144964|4,45
415119|145683|1,90
415120|144912|0,00
415121|144920|0,00
415122|144920|0,00
415123|144777|0,00
415124|144920|0,00
415125|144853|0,00
415126|144920|0,00
415127|144920|0,00
415128|144920|0,00
415129|144920|0,00
415130|144853|0,00
415131|144912|0,00
415132|144920|0,00
415133|144920|0,00
415134|144920|0,00
415135|144920|0,00
415136|144920|0,00
415137|144629|0,00
415138|144920|0,00
415139|144853|0,00
415140|144629|0,00
415141|144920|0,00
415142|144920|0,00
415143|144920|0,00
415144|144920|0,00
415145|144920|0,00
415146|144920|0,00
415147|144853|0,00
415148|144777|0,00
415149|144920|0,00
415150|144920|0,00
415151|144920|0,00
415152|144777|0,00
415153|146265|0,23
415154|144920|0,00
415155|144853|0,00
415156|144920|0,00
415157|144629|0,00
415158|144920|0,00
415160|144912|0,00
415161|144920|0,00
415162|144920|0,00
415163|144572|0,00
415164|144559|0,00
415165|144920|0,00
415166|144572|0,00
415167|144912|0,00
415168|144572|0,00
415169|144920|0,00
415170|144572|0,00
415171|144572|0,00
415172|144920|0,00
415173|144667|0,00
415174|144777|0,00
415175|144720|0,00
415176|145144|118,04
415177|144777|0,00
415178|144720|0,00
415179|144920|0,00
415180|148696|3,75
415181|144853|0,00
415182|144572|0,00
415183|144777|0,00
415184|144912|0,00
415185|144912|0,00
415187|144853|0,00
415188|144920|0,00
415189|144920|0,00
415190|144920|0,00
415191|144667|0,00
415192|144920|0,00
415193|144920|0,00
415194|144720|0,00
415195|144912|0,00
415196|144777|0,00
415197|144777|0,00
415198|144920|0,00
415199|144912|0,00
415200|144920|0,00
415201|144912|0,00
415202|144559|0,00
415203|144920|0,00
415204|144920|0,00
415205|144920|0,00
415206|145005|52,54
415207|144920|0,00
415209|144777|0,00
415210|144920|0,00
415211|144920|0,00
415212|144920|0,00
415213|144912|0,00
415214|144853|0,00
415215|144920|0,00
415216|144920|0,00
415217|144920|0,00
415218|144920|0,00
415219|144720|0,00
415220|144629|0,00
415221|144912|0,00
415222|144572|0,00
415223|144920|0,00
415224|144964|26,91
415225|144920|0,00
415226|144920|0,00
415227|144920|0,00
415228|144853|0,00
415229|144920|0,00
415230|144559|0,00
415231|144920|0,00
415232|144920|0,00
415233|144484|0,00
415234|144920|0,00
415235|144912|0,00
415236|144920|0,00
415237|144853|0,00
415238|144920|0,00
415239|144920|0,00
415240|144920|0,00
415241|144572|0,00
415242|144920|0,00
415243|144777|0,00
415244|144920|0,00
415245|144667|0,00
415246|144920|0,00
415247|144912|0,00
415248|144920|0,00
415249|144920|0,00
415250|144920|0,00
415251|144920|0,00
415252|144667|0,00
415253|144920|0,00
415254|144920|0,00
415255|145824|25,81
415256|144920|0,00
415257|144920|0,00
415258|144853|0,00
415259|144853|0,00
415260|144920|0,00
415261|144777|0,00
415262|144920|0,00
415263|144920|0,00
415264|144920|0,00
415265|144920|0,00
415266|144777|0,00
415267|144912|0,00
415268|144920|0,00
415269|145073|36,76
415270|144777|0,00
415271|146813|0,11
415272|144920|0,00
415273|144720|0,00
