NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
Receita Bruta|||||      15.998.145,41|202401
Tributos|ISS||||        -797.407,27|202401
Tributos|COFINS||||      -1.215.859,04|202401
Receita operacional líquida|||||      13.984.879,10|202401
Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -3.871.223,87|202401
Custos dos serviços prestados|Consultas|SISEG|||        -226.837,05|202401
Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202401
Custos dos serviços prestados|Outros custos||||                  0|202401
Margem bruta|||||       9.886.818,18|202401
Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202401
Despesas operacionais|Pessoal|Despesa com empregados|Ferias||         -81.192,84|202401
Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -8.184,85|202401
Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||                  0|202401
Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.914.758,60|202401
Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -243.578,65|202401
Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202401
Despesas operacionais|Pessoal|Despesa com empregados|Bonus||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202401
Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||                  0|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -58.731,40|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -393.449,44|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|          -8.833,33|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -32.537,89|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|         -15.000,00|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -47.677,68|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -199.576,27|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -154.226,91|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -12.976,27|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.399,07|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|         -11.668,73|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|          -1.177,29|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|          -1.209,49|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|            -486,20|202401
Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|        -137.287,67|202401
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -62.112,56|202401
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -20.704,21|202401
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -745.350,56|202401
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|          -6.495,45|202401
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|                  0|202401
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -233.835,47|202401
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -19.486,29|202401
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -29.229,50|202401
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -2.435,81|202401
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|            -811,92|202401
Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -412.172,50|202401
Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||        -388.502,69|202401
Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202401
Despesas operacionais|Serviços de terceiros|Equipamentos|||        -156.152,46|202401
Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -2.202.658,11|202401
Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||         -68.198,50|202401
Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202401
Despesas operacionais|Eventos|Eventos|||        -233.436,60|202401
