ID|NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
1|Receita Bruta|||||      18.695.085,73|202501
2|Tributos|ISS||||        -934.755,20|202501
3|Tributos|COFINS||||      -1.420.827,04|202501
4|Receita operacional líquida|||||      16.339.503,49|202501
5|Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202501
6|Custos dos serviços prestados|Consultas|SISEG|||        -195.713,24|202501
7|Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -5.022.840,31|202501
8|Custos dos serviços prestados|Outros custos||||                  0|202501
9|Margem bruta|||||      11.120.949,94|202501
10|Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -6.387,55|202501
11|Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||         -32.927,34|202501
12|Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -1.658.595,34|202501
13|Despesas operacionais|Pessoal|Despesa com empregados|Ferias||        -259.149,40|202501
14|Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202501
15|Despesas operacionais|Pessoal|Despesa com empregados|Bonus||          -2.823,39|202501
16|Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -181.535,38|202501
17|Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202501
18|Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||                  0|202501
19|Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||                  0|202501
20|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||          -1.977,70|202501
21|Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||          -1.200,00|202501
22|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202501
23|Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||                  0|202501
24|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -66.035,69|202501
25|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -455.181,39|202501
26|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|                  0|202501
