DESCRICAO|CONTA|01/2024|02/2024|03/2024|04/2024|05/2024|06/2024|07/2024|08/2024|09/2024|10/2024|11/2024|12/2024
 Entradas de Caixa|03|      22.020.499,72|      17.199.842,66|      20.091.273,43|      19.764.456,56|      33.778.911,21|      19.961.096,39|      22.760.692,22|      20.418.869,40|      17.200.081,53|      25.287.154,39|      16.077.146,64|      20.053.298,83
  Consultas/Registros|0301|      20.683.087,13|      15.729.461,39|      17.653.016,69|      18.846.045,55|      18.808.959,27|      18.627.549,84|      21.337.503,62|      18.872.657,84|      16.519.410,99|      24.381.516,19|      15.319.528,55|      19.448.883,23
   SNG|030101|      15.930.075,31|       9.620.734,44|      13.461.102,52|      13.250.119,94|      14.178.076,06|      13.739.729,60|      17.389.111,10|      14.204.297,98|      10.919.976,97|      18.580.678,40|      11.150.858,48|      15.342.968,31
   SISEG|030103|       4.752.098,54|       6.108.306,37|       4.191.914,17|       5.505.447,47|       4.511.851,84|       4.737.670,86|       3.819.414,58|       4.555.538,73|       5.342.734,96|       5.592.599,67|       4.071.999,39|       3.973.961,33
   Reversão Baixa de cobrança|030107|             913,28|             420,58|                  0|                  0|               6,53|             104,83|             701,66|             178,46|                  0|                  0|             266,39|                  0
   Combate a Fraude|030108|         234.372,95|          84.762,98|          98.510,71|         121.435,92|         153.036,40|         154.078,15|         128.276,28|         112.642,67|         257.877,08|         259.288,72|          99.860,80|         131.953,59
  Receitas de Eventos|0302|         304.703,09|         558.235,00|         178.090,00|         408.164,44|         236.600,79|          96.500,00|         414.500,00|          67.000,00|          54.711,52|         152.666,67|         267.666,67|          42.804,17
    Receita de Inscrições|030201|                  0|                  0|         174.240,00|         128.000,00|         212.000,00|          96.500,00|          39.500,00|          17.000,00|                  0|                  0|                  0|          40.137,50
   Receita de Patrocinios|030202|         304.703,09|         558.235,00|           3.850,00|         280.164,44|          24.600,79|                  0|         375.000,00|          50.000,00|          54.711,52|         152.666,67|         267.666,67|           2.666,67
  Receitas Sindicais|0303|                  0|                  0|                  0|                  0|      14.289.777,35|         594.588,11|         275.062,16|          53.804,90|                  0|                  0|                  0|                  0
   Contribuição Assistencial|030304|                  0|                  0|                  0|                  0|      14.289.777,35|         594.588,11|         275.062,16|          53.804,90|                  0|                  0|                  0|                  0
  Outros ingressos|0306|       1.032.709,50|         912.146,27|       2.260.166,74|         510.246,57|         443.258,12|         601.542,31|         733.272,22|       1.425.406,66|         625.959,02|         752.578,69|         489.951,42|         545.269,53
   Recuperação Despesas - Rateios|030602|         313.095,99|             889,20|          80.673,66|                  0|         110.000,00|         230.548,17|         361.678,22|         443.777,15|         265.019,84|         264.312,93|          94.987,08|          34.235,36
   Recuperação Despesas - Outras|030603|         474.704,26|         210.064,99|         367.451,60|         329.604,01|         224.822,91|         292.553,49|         193.467,21|         349.304,32|         285.358,06|         310.283,22|         264.462,38|         361.500,57
   Rec. Duplic/Não idendificado|030606|          10.536,30|             331,47|          17.572,04|          34.759,04|          19.867,96|           8.500,01|           7.764,54|          70.293,64|           3.958,69|          12.870,95|          92.008,85|         127.724,17
   Devoluções Diversas|030608|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|           2.684,52|                  0|          30.990,45|                  0
   Reembolso de Passagens aérea|030611|                  0|             617,92|                  0|                  0|                  0|                  0|                  0|                  0|                  0|          25.194,19|                  0|                  0
   Devol. IRRF apl Financeira|030617|                  0|                  0|              44,11|                  0|             318,32|                  0|             441,37|          -1.008,56|                  0|                  0|                  0|                  0
