Identificação;Data;Entrada Manhã;Saída Almoço;Entrada Tarde;Saída Expediente
1000;01/07/2019;08:56:28;12:35:06;13:51:18;17:44:00
1001;01/07/2019;08:27:05;12:35:01;13:32:15;17:42:43
1002;01/07/2019;08:56:10;12:54:27;13:35:44;17:13:02
1003;01/07/2019;08:40:14;12:33:42;13:56:02;17:23:02
1004;01/07/2019;08:58:04;12:13:16;13:47:45;17:59:23
1005;01/07/2019;08:26:12;12:12:26;13:23:08;17:34:13
1006;01/07/2019;08:21:15;12:44:06;13:05:40;17:37:10
1007;01/07/2019;08:05:49;12:50:28;13:20:14;17:45:38
1008;01/07/2019;08:51:58;12:54:08;13:47:23;17:23:10
1009;01/07/2019;08:40:06;12:01:04;13:03:07;17:20:27
1010;01/07/2019;08:52:30;12:16:17;13:19:19;17:40:42
1011;01/07/2019;08:17:50;12:32:58;13:49:39;17:03:47
1012;01/07/2019;08:46:54;12:55:22;13:46:07;17:29:17
1013;01/07/2019;08:00:53;12:05:58;13:20:42;17:30:14
1014;01/07/2019;08:01:02;12:47:50;13:06:30;17:28:54
1015;01/07/2019;08:57:20;12:09:28;13:07:41;17:30:41
1016;01/07/2019;08:21:49;12:56:17;13:31:34;17:56:03
1017;01/07/2019;08:56:22;12:15:42;13:30:11;17:51:13
1018;01/07/2019;08:47:55;12:18:34;13:31:51;17:55:49
1019;01/07/2019;08:57:05;12:03:45;13:30:08;17:29:48
1020;01/07/2019;08:06:34;12:57:12;13:56:46;17:26:00
1021;01/07/2019;08:50:48;12:27:46;13:00:26;17:02:31
1022;01/07/2019;08:02:54;12:58:42;13:13:11;17:11:53
1023;01/07/2019;08:17:15;12:08:34;13:50:55;17:44:03
1024;01/07/2019;08:58:36;12:44:40;13:19:40;17:05:57
1025;01/07/2019;08:52:09;12:38:49;13:49:27;17:47:11
1026;01/07/2019;08:23:30;12:11:16;13:55:26;17:10:14
1027;01/07/2019;08:42:18;12:08:35;13:46:42;17:58:41
1028;01/07/2019;08:36:29;12:53:28;13:16:18;17:59:20
1029;01/07/2019;08:26:11;12:37:32;13:41:54;17:17:44
1030;01/07/2019;08:46:56;12:56:26;13:51:36;17:36:15
1031;01/07/2019;08:15:59;12:11:32;13:34:00;17:19:38
1032;01/07/2019;08:04:11;12:45:44;13:18:26;17:51:11
1033;01/07/2019;08:04:32;12:59:13;13:13:24;17:36:38
1034;01/07/2019;08:51:23;12:18:34;13:06:47;17:33:41
1035;01/07/2019;08:15:05;12:47:31;13:48:59;17:25:09
1036;01/07/2019;08:54:17;12:14:49;13:13:15;17:41:23
1037;01/07/2019;08:57:03;12:06:46;13:55:01;17:34:52
1038;01/07/2019;08:10:54;12:58:35;13:57:52;17:43:54
1039;01/07/2019;08:49:33;12:53:47;13:06:49;17:37:45
1040;01/07/2019;08:17:20;12:32:27;13:56:05;17:08:13
1041;01/07/2019;08:35:09;12:57:33;13:26:48;17:24:00
1042;01/07/2019;08:03:43;12:44:04;13:10:32;17:00:57
1043;01/07/2019;08:12:00;12:40:37;13:40:33;17:13:20
1044;01/07/2019;08:48:48;12:04:27;13:15:27;17:41:43
1045;01/07/2019;08:57:58;12:56:34;13:13:33;17:45:20
1046;01/07/2019;08:07:18;12:29:31;13:40:32;17:23:07
1047;01/07/2019;08:47:08;12:09:16;13:56:37;17:56:42
1048;01/07/2019;08:51:03;12:01:25;13:53:37;17:01:01
1049;01/07/2019;08:05:47;12:22:49;13:23:43;17:45:26
1050;01/07/2019;08:48:35;12:37:40;13:13:08;17:53:39
1051;01/07/2019;08:21:29;12:37:52;13:53:54;17:58:18
1052;01/07/2019;08:55:30;12:45:52;13:11:36;17:37:48
1053;01/07/2019;08:14:08;12:07:16;13:45:51;17:08:14
1054;01/07/2019;08:24:42;12:11:12;13:57:59;17:43:56
1055;01/07/2019;08:22:52;12:50:22;13:07:48;17:56:35
1056;01/07/2019;08:41:34;12:48:53;13:36:54;17:56:42
1057;01/07/2019;08:40:17;12:48:21;13:37:10;17:30:02
1058;01/07/2019;08:15:15;12:17:14;13:38:56;17:28:42
1059;01/07/2019;08:02:30;12:31:31;13:07:56;17:11:35
1060;01/07/2019;08:42:31;12:43:56;13:27:05;17:39:03
1061;01/07/2019;08:21:32;12:49:44;13:07:13;17:59:43
1062;01/07/2019;08:54:40;12:36:01;13:03:23;17:04:03
1063;01/07/2019;08:11:39;12:48:28;13:13:55;17:52:04
1064;01/07/2019;08:45:22;12:36:18;13:13:41;17:58:34
1065;01/07/2019;08:49:38;12:41:34;13:13:42;17:39:24
1066;01/07/2019;08:59:19;12:36:00;13:16:48;17:23:54
1067;01/07/2019;08:50:03;12:46:13;13:12:50;17:13:12
1068;01/07/2019;08:26:45;12:15:24;13:53:53;17:01:44
1069;01/07/2019;08:39:33;12:56:44;13:13:19;17:28:54
1070;01/07/2019;08:57:14;12:21:35;13:42:28;17:50:02
1071;01/07/2019;08:26:08;12:32:00;13:32:19;17:36:35
1072;01/07/2019;08:05:45;12:38:09;13:58:19;17:00:36
1073;01/07/2019;08:04:20;12:09:57;13:28:39;17:35:03
1074;01/07/2019;08:26:18;12:22:41;13:43:08;17:11:33
1075;01/07/2019;08:50:49;12:28:10;13:21:27;17:09:03
1076;01/07/2019;08:41:02;12:59:30;13:15:49;17:50:10
1077;01/07/2019;08:45:28;12:38:39;13:19:15;17:52:13
1078;01/07/2019;08:47:36;12:53:01;13:55:00;17:41:14
1079;01/07/2019;08:47:51;12:57:08;13:03:19;17:55:04
1080;01/07/2019;08:42:21;12:51:34;13:55:51;17:11:08
1081;01/07/2019;08:11:58;12:51:36;13:34:01;17:43:53
1082;01/07/2019;08:40:24;12:02:35;13:11:23;17:37:11
1083;01/07/2019;08:33:16;12:59:07;13:57:20;17:14:15
1084;01/07/2019;08:40:56;12:51:04;13:25:55;17:08:47
1085;01/07/2019;08:50:28;12:09:03;13:45:23;17:52:18
1086;01/07/2019;08:46:47;12:43:33;13:45:19;17:24:58
1087;01/07/2019;08:03:26;12:34:23;13:46:51;17:54:38
1088;01/07/2019;08:52:14;12:48:23;13:43:57;17:32:59
1089;01/07/2019;08:56:52;12:10:12;13:18:59;17:54:13
1090;01/07/2019;08:35:30;12:29:40;13:19:08;17:27:12
1091;01/07/2019;08:13:24;12:39:45;13:21:13;17:40:18
1092;01/07/2019;08:07:30;12:59:09;13:44:47;17:44:55
1093;01/07/2019;08:23:07;12:33:59;13:21:24;17:09:01
1094;01/07/2019;08:42:34;12:42:03;13:43:34;17:33:16
1095;01/07/2019;08:56:21;12:22:30;13:12:21;17:34:46
1096;01/07/2019;08:41:34;12:51:56;13:03:32;17:29:40
1097;01/07/2019;08:18:35;12:49:11;13:09:44;17:12:20
1098;01/07/2019;08:56:53;12:58:35;13:40:52;17:27:22
1099;01/07/2019;08:03:59;12:12:11;13:23:22;17:09:14
1000;02/07/2019;08:01:49;12:54:03;13:07:43;17:34:07
1000;02/07/2019;08:16:08;12:29:04;13:32:35;17:18:06
1001;02/07/2019;08:42:15;12:52:21;13:48:55;17:21:09
1002;02/07/2019;08:56:04;12:10:40;13:04:03;17:22:05
