Vendedor;Produto;Estado;Mês;Cliente;Valor;Quantidade;Total
Caio;Rodas aro 13";MG;Janeiro;Pessoa Física;780;110;85800
Priscila;Rodas aro 14";AC;Julho;Pessoa Jurídica;980;110;107800
Mirian;Rodas aro 15";PE;Janeiro;Pessoa Jurídica;1020;109;111180
Murilo;Rodas aro 16";MA;Abril;Pessoa Jurídica;1340;108;144720
Roberto;Rodas aro 17";AM;Setembro;Pessoa Física;1870;108;201960
Myslaine;Rodas aro 18";DF;Março;Pessoa Jurídica;1910;107;204370
Katia;Rodas aro 19";GO;Agosto;Pessoa Física;2240;106;237440
Vanessa;Rodas aro 20";MG;Setembro;Pessoa Física;2479;103;255337
Renata;Rodas aro 21";AC;Setembro;Pessoa Física;3200;102;326400
Caio;Rodas aro 22";SE;Outubro;Pessoa Jurídica;3921;101;396021
Priscila;Rodas aro 13";MS;Fevereiro;Pessoa Jurídica;780;99;77220
Mirian;Rodas aro 14";DF;Agosto;Pessoa Jurídica;980;91;89180
Murilo;Rodas aro 15";RN;Maio;Pessoa Física;1020;91;92820
Roberto;Rodas aro 16";PE;Setembro;Pessoa Jurídica;1340;91;121940
Myslaine;Rodas aro 17";TO;Maio;Pessoa Física;1870;89;166430
Katia;Rodas aro 18";RN;Janeiro;Pessoa Física;1910;89;169990
Vanessa;Rodas aro 19";GO;Janeiro;Pessoa Física;2240;88;197120
Renata;Rodas aro 20";SE;Outubro;Pessoa Jurídica;2479;86;213194
Caio;Rodas aro 21";RN;Dezembro;Pessoa Jurídica;3200;85;272000
Priscila;Rodas aro 22";RJ;Setembro;Pessoa Jurídica;3921;82;321522
Mirian;Rodas aro 13";AC;Agosto;Pessoa Física;780;82;63960
Murilo;Rodas aro 14";PA;Maio;Pessoa Jurídica;980;81;79380
Roberto;Rodas aro 15";PI;Janeiro;Pessoa Física;1020;80;81600
Myslaine;Rodas aro 16";PE;Setembro;Pessoa Física;1340;80;107200
Katia;Rodas aro 17";ES;Maio;Pessoa Física;1870;75;140250
Vanessa;Rodas aro 18";RO;Agosto;Pessoa Jurídica;1910;74;141340
Renata;Rodas aro 19";PI;Outubro;Pessoa Jurídica;2240;73;163520
