TITULO|CODIGOCLIENTE|CLIENTE|UF_CLIENTE|STATUSDOTITULO|EMPRESAEMITENTE|FILIAL|EMPRESARECEBEDORA|PEDIDOFATURAMENTO|TIPODETITULO|TIPODECOBRANCA|CONTADOFLUXODECAIXA|EMISSAO|VENCIMENTO|COMPETENCIA|CONTADEPAGAMENTO|NOMEBANCOPAGAMENTO|DOCUMENTOFISCAL|DOCUMENTODEPAGAMENTO|PAGAMENTO|DATA_FLXCX|COD_CADU|VALOR_EMITIDO_UF|QTD|UF
259045|11970623000103|SENFF SA CRED FINANCIAMENTO E INVESTIMEN|PR|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|270213|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/09/2024|21/10/2024|30/09/2024|237.01.COB|BANCO BRADESCO S.A.|424467|155442|02/01/2025|03/01/2025|10549|106,89|3|PR
260688|50533876000171|PANAMERICANO ADMINISTRADORA DE CONSORCIO|SP|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272152|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|425948|155442|02/01/2025|03/01/2025|1034|5,09|1|MS
260766|1551820000134|COOP DE ECON E CRED MUTUO DOS FUNC DO EX|PR|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272230|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426026|155442|02/01/2025|03/01/2025|2343|71,26|2|PR
261045|7327045000114|CORPORE SOCIEDADE DE CRED AO MICROEMPRE|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272509|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426305|155442|02/01/2025|03/01/2025|6513|35,63|1|MS
261385|29589028000279|BAMAQ CAMINHOES LTDA|PA|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272849|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426645|155442|02/01/2025|03/01/2025|17531|106,89|3|PA
256760|43510524000135|RT CAR COMERCIO DE VEICULOS LTDA|SC|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|267930|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/07/2024|21/08/2024|31/07/2024|237.01.COB|BANCO BRADESCO S.A.|422411|155460|03/01/2025|03/01/2025|18500|35,63|1|SC
258582|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|269750|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/09/2024|21/10/2024|30/09/2024|237.01.COB|BANCO BRADESCO S.A.|424005|155455|03/01/2025|06/01/2025|1931|838,02|24|BA
258582|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|269750|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/09/2024|21/10/2024|30/09/2024|237.01.COB|BANCO BRADESCO S.A.|424005|155455|03/01/2025|06/01/2025|1931|1.431,61|41|MS
258582|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|269750|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/09/2024|21/10/2024|30/09/2024|237.01.COB|BANCO BRADESCO S.A.|424005|155455|03/01/2025|06/01/2025|1931|34,92|1|MT
258582|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|269750|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/09/2024|21/10/2024|30/09/2024|237.01.COB|BANCO BRADESCO S.A.|424005|155455|03/01/2025|06/01/2025|1931|1.361,78|39|TO
